Fecha,Loteria,1er,2do,3er
2026-01-22,Nacional,6,34,60
2026-01-22,Leidsa,45,5,68
2026-01-22,Real,10,73,52
2026-01-22,Loteka,99,49,42
2026-01-22,New York,42,78,81
2026-01-22,Florida,81,48,89
2026-01-22,La Primera,55,42,72
2026-01-22,La Suerte,61,59,9
2026-01-21,Nacional,31,82,50
2026-01-21,Leidsa,20,93,5
2026-01-21,Real,0,76,16
2026-01-21,Loteka,78,65,42
2026-01-21,New York,72,97,11
2026-01-21,Florida,40,39,70
2026-01-21,La Primera,36,37,7
2026-01-21,La Suerte,50,61,48
2026-01-20,Nacional,68,46,64
2026-01-20,Leidsa,7,15,38
2026-01-20,Real,6,53,73
2026-01-20,Loteka,35,55,12
2026-01-20,New York,81,4,95
2026-01-20,Florida,21,59,30
2026-01-20,La Primera,28,19,71
2026-01-20,La Suerte,75,27,87
2026-01-19,Nacional,98,99,94
2026-01-19,Leidsa,38,37,32
2026-01-19,Real,15,78,87
2026-01-19,Loteka,29,34,35
2026-01-19,New York,60,49,50
2026-01-19,Florida,91,23,85
2026-01-19,La Primera,86,15,41
2026-01-19,La Suerte,58,8,46
2026-01-18,Nacional,80,58,0
2026-01-18,Leidsa,27,72,69
2026-01-18,Real,70,2,37
2026-01-18,Loteka,86,11,20
2026-01-18,New York,40,58,94
2026-01-18,Florida,68,91,1
2026-01-18,La Primera,45,6,90
2026-01-18,La Suerte,91,39,19
2026-01-17,Nacional,70,15,60
2026-01-17,Leidsa,81,69,2
2026-01-17,Real,73,18,62
2026-01-17,Loteka,77,96,24
2026-01-17,New York,75,25,76
2026-01-17,Florida,10,24,93
2026-01-17,La Primera,81,84,21
2026-01-17,La Suerte,51,26,50
2026-01-16,Nacional,77,17,78
2026-01-16,Leidsa,31,35,36
2026-01-16,Real,73,9,97
2026-01-16,Loteka,83,34,99
2026-01-16,New York,48,20,24
2026-01-16,Florida,18,17,59
2026-01-16,La Primera,48,94,21
2026-01-16,La Suerte,87,62,57
2026-01-15,Nacional,53,42,27
2026-01-15,Leidsa,25,30,9
2026-01-15,Real,46,53,63
2026-01-15,Loteka,61,52,17
2026-01-15,New York,38,69,2
2026-01-15,Florida,8,94,13
2026-01-15,La Primera,86,80,11
2026-01-15,La Suerte,46,8,94
2026-01-14,Nacional,35,40,84
2026-01-14,Leidsa,69,7,21
2026-01-14,Real,92,93,17
2026-01-14,Loteka,11,28,95
2026-01-14,New York,6,0,71
2026-01-14,Florida,65,53,20
2026-01-14,La Primera,90,50,38
2026-01-14,La Suerte,10,44,47
2026-01-13,Nacional,18,81,70
2026-01-13,Leidsa,86,81,99
2026-01-13,Real,42,77,35
2026-01-13,Loteka,40,2,25
2026-01-13,New York,28,42,70
2026-01-13,Florida,79,85,34
2026-01-13,La Primera,32,77,49
2026-01-13,La Suerte,41,89,42
2026-01-12,Nacional,71,45,46
2026-01-12,Leidsa,63,26,9
2026-01-12,Real,95,45,95
2026-01-12,Loteka,9,11,81
2026-01-12,New York,51,59,14
2026-01-12,Florida,38,18,13
2026-01-12,La Primera,86,57,11
2026-01-12,La Suerte,33,21,31
2026-01-11,Nacional,71,21,62
2026-01-11,Leidsa,49,80,43
2026-01-11,Real,30,58,60
2026-01-11,Loteka,2,81,60
2026-01-11,New York,19,10,56
2026-01-11,Florida,72,22,39
2026-01-11,La Primera,23,10,63
2026-01-11,La Suerte,48,42,90
2026-01-10,Nacional,64,72,32
2026-01-10,Leidsa,8,53,92
2026-01-10,Real,6,18,41
2026-01-10,Loteka,97,49,56
2026-01-10,New York,51,37,90
2026-01-10,Florida,52,65,88
2026-01-10,La Primera,76,59,2
2026-01-10,La Suerte,99,10,67
2026-01-09,Nacional,27,29,58
2026-01-09,Leidsa,91,63,76
2026-01-09,Real,71,53,85
2026-01-09,Loteka,80,42,49
2026-01-09,New York,43,20,20
2026-01-09,Florida,58,68,62
2026-01-09,La Primera,34,29,22
2026-01-09,La Suerte,74,59,26
2026-01-08,Nacional,71,16,80
2026-01-08,Leidsa,78,78,28
2026-01-08,Real,75,47,47
2026-01-08,Loteka,96,97,39
2026-01-08,New York,32,23,25
2026-01-08,Florida,85,66,62
2026-01-08,La Primera,40,47,34
2026-01-08,La Suerte,51,76,53
2026-01-07,Nacional,24,53,84
2026-01-07,Leidsa,11,40,23
2026-01-07,Real,6,89,16
2026-01-07,Loteka,39,61,82
2026-01-07,New York,61,52,28
2026-01-07,Florida,61,72,79
2026-01-07,La Primera,26,4,43
2026-01-07,La Suerte,75,98,21
2026-01-06,Nacional,24,39,55
2026-01-06,Leidsa,95,34,89
2026-01-06,Real,98,38,6
2026-01-06,Loteka,84,74,20
2026-01-06,New York,46,97,38
2026-01-06,Florida,45,28,83
2026-01-06,La Primera,90,86,58
2026-01-06,La Suerte,16,37,46
2026-01-05,Nacional,19,45,58
2026-01-05,Leidsa,16,84,78
2026-01-05,Real,0,6,23
2026-01-05,Loteka,44,33,71
2026-01-05,New York,61,36,68
2026-01-05,Florida,4,41,74
2026-01-05,La Primera,2,32,65
2026-01-05,La Suerte,69,14,36
2026-01-04,Nacional,77,13,59
2026-01-04,Leidsa,10,31,15
2026-01-04,Real,41,85,12
2026-01-04,Loteka,23,4,29
2026-01-04,New York,73,57,69
2026-01-04,Florida,8,18,10
2026-01-04,La Primera,75,17,0
2026-01-04,La Suerte,94,49,71
2026-01-03,Nacional,53,21,13
2026-01-03,Leidsa,78,80,12
2026-01-03,Real,10,59,83
2026-01-03,Loteka,43,53,3
2026-01-03,New York,34,88,55
2026-01-03,Florida,53,32,17
2026-01-03,La Primera,46,42,64
2026-01-03,La Suerte,27,59,16
2026-01-02,Nacional,7,37,56
2026-01-02,Leidsa,72,56,7
2026-01-02,Real,24,72,32
2026-01-02,Loteka,71,2,80
2026-01-02,New York,79,98,90
2026-01-02,Florida,94,91,93
2026-01-02,La Primera,27,69,90
2026-01-02,La Suerte,92,57,79
2026-01-01,Nacional,82,10,41
2026-01-01,Leidsa,23,83,84
2026-01-01,Real,54,30,42
2026-01-01,Loteka,59,17,26
2026-01-01,New York,92,55,67
2026-01-01,Florida,95,27,88
2026-01-01,La Primera,49,96,10
2026-01-01,La Suerte,49,37,54
2025-12-31,Nacional,62,96,10
2025-12-31,Leidsa,18,23,41
2025-12-31,Real,72,38,51
2025-12-31,Loteka,49,53,39
2025-12-31,New York,6,50,40
2025-12-31,Florida,35,11,8
2025-12-31,La Primera,36,73,88
2025-12-31,La Suerte,75,21,72
2025-12-30,Nacional,30,85,4
2025-12-30,Leidsa,77,32,8
2025-12-30,Real,40,60,87
2025-12-30,Loteka,32,81,43
2025-12-30,New York,72,0,77
2025-12-30,Florida,40,88,83
2025-12-30,La Primera,46,99,36
2025-12-30,La Suerte,35,35,71
2025-12-29,Nacional,22,94,39
2025-12-29,Leidsa,71,23,13
2025-12-29,Real,21,84,39
2025-12-29,Loteka,13,90,86
2025-12-29,New York,26,82,43
2025-12-29,Florida,64,41,95
2025-12-29,La Primera,0,67,75
2025-12-29,La Suerte,12,26,45
2025-12-28,Nacional,27,27,43
2025-12-28,Leidsa,37,94,45
2025-12-28,Real,69,77,59
2025-12-28,Loteka,13,64,81
2025-12-28,New York,89,15,84
2025-12-28,Florida,62,13,70
2025-12-28,La Primera,71,10,51
2025-12-28,La Suerte,6,69,86
2025-12-27,Nacional,12,49,23
2025-12-27,Leidsa,58,91,99
2025-12-27,Real,52,34,81
2025-12-27,Loteka,73,66,76
2025-12-27,New York,65,38,27
2025-12-27,Florida,46,24,96
2025-12-27,La Primera,14,6,29
2025-12-27,La Suerte,30,79,23
2025-12-26,Nacional,31,0,10
2025-12-26,Leidsa,8,1,1
2025-12-26,Real,16,18,70
2025-12-26,Loteka,98,18,11
2025-12-26,New York,89,37,41
2025-12-26,Florida,47,69,61
2025-12-26,La Primera,37,37,97
2025-12-26,La Suerte,8,85,0
2025-12-25,Nacional,41,22,63
2025-12-25,Leidsa,63,52,22
2025-12-25,Real,98,29,41
2025-12-25,Loteka,65,19,30
2025-12-25,New York,31,17,26
2025-12-25,Florida,4,34,60
2025-12-25,La Primera,44,41,60
2025-12-25,La Suerte,59,10,38
2025-12-24,Nacional,76,6,58
2025-12-24,Leidsa,57,16,64
2025-12-24,Real,12,31,66
2025-12-24,Loteka,13,86,20
2025-12-24,New York,79,20,24
2025-12-24,Florida,33,27,3
2025-12-24,La Primera,5,68,9
2025-12-24,La Suerte,94,83,28
2025-12-23,Nacional,78,62,84
2025-12-23,Leidsa,0,82,91
2025-12-23,Real,22,36,78
2025-12-23,Loteka,90,43,16
2025-12-23,New York,32,59,7
2025-12-23,Florida,29,47,14
2025-12-23,La Primera,4,80,40
2025-12-23,La Suerte,27,56,47
2025-12-22,Nacional,89,39,50
2025-12-22,Leidsa,31,65,6
2025-12-22,Real,12,16,9
2025-12-22,Loteka,54,24,1
2025-12-22,New York,16,61,69
2025-12-22,Florida,50,91,16
2025-12-22,La Primera,79,59,44
2025-12-22,La Suerte,64,51,66
2025-12-21,Nacional,58,27,1
2025-12-21,Leidsa,21,81,5
2025-12-21,Real,38,27,6
2025-12-21,Loteka,43,66,34
2025-12-21,New York,1,95,31
2025-12-21,Florida,78,81,46
2025-12-21,La Primera,85,53,21
2025-12-21,La Suerte,94,29,0
2025-12-20,Nacional,24,69,24
2025-12-20,Leidsa,60,10,47
2025-12-20,Real,94,7,43
2025-12-20,Loteka,61,77,15
2025-12-20,New York,7,64,67
2025-12-20,Florida,56,24,44
2025-12-20,La Primera,31,1,13
2025-12-20,La Suerte,21,33,48
2025-12-19,Nacional,20,76,14
2025-12-19,Leidsa,11,65,97
2025-12-19,Real,1,26,59
2025-12-19,Loteka,49,94,28
2025-12-19,New York,68,55,33
2025-12-19,Florida,77,90,23
2025-12-19,La Primera,49,79,76
2025-12-19,La Suerte,91,4,8
2025-12-18,Nacional,68,99,95
2025-12-18,Leidsa,10,20,15
2025-12-18,Real,61,69,32
2025-12-18,Loteka,75,60,13
2025-12-18,New York,56,10,3
2025-12-18,Florida,20,59,72
2025-12-18,La Primera,5,1,41
2025-12-18,La Suerte,89,75,12
2025-12-17,Nacional,72,9,8
2025-12-17,Leidsa,89,48,45
2025-12-17,Real,99,34,83
2025-12-17,Loteka,66,88,41
2025-12-17,New York,52,3,95
2025-12-17,Florida,59,45,49
2025-12-17,La Primera,50,71,75
2025-12-17,La Suerte,64,3,88
2025-12-16,Nacional,42,25,60
2025-12-16,Leidsa,42,60,75
2025-12-16,Real,23,47,46
2025-12-16,Loteka,75,69,95
2025-12-16,New York,3,94,79
2025-12-16,Florida,95,85,94
2025-12-16,La Primera,65,75,61
2025-12-16,La Suerte,21,69,99
2025-12-15,Nacional,67,44,93
2025-12-15,Leidsa,85,6,15
2025-12-15,Real,63,24,49
2025-12-15,Loteka,42,46,32
2025-12-15,New York,11,81,94
2025-12-15,Florida,29,74,95
2025-12-15,La Primera,66,73,3
2025-12-15,La Suerte,86,86,41
2025-12-14,Nacional,83,87,48
2025-12-14,Leidsa,90,34,92
2025-12-14,Real,81,27,88
2025-12-14,Loteka,5,57,7
2025-12-14,New York,11,95,73
2025-12-14,Florida,98,72,35
2025-12-14,La Primera,39,92,88
2025-12-14,La Suerte,83,70,91
2025-12-13,Nacional,1,28,70
2025-12-13,Leidsa,84,12,59
2025-12-13,Real,3,24,17
2025-12-13,Loteka,15,40,0
2025-12-13,New York,23,14,64
2025-12-13,Florida,30,50,20
2025-12-13,La Primera,4,71,92
2025-12-13,La Suerte,14,97,17
2025-12-12,Nacional,28,32,55
2025-12-12,Leidsa,21,65,34
2025-12-12,Real,65,51,15
2025-12-12,Loteka,30,71,20
2025-12-12,New York,78,93,0
2025-12-12,Florida,3,31,38
2025-12-12,La Primera,14,90,93
2025-12-12,La Suerte,18,22,59
2025-12-11,Nacional,49,23,52
2025-12-11,Leidsa,56,82,77
2025-12-11,Real,9,78,13
2025-12-11,Loteka,86,59,78
2025-12-11,New York,49,77,83
2025-12-11,Florida,65,34,88
2025-12-11,La Primera,52,80,56
2025-12-11,La Suerte,90,16,51
2025-12-10,Nacional,45,24,30
2025-12-10,Leidsa,65,12,95
2025-12-10,Real,81,81,82
2025-12-10,Loteka,28,67,74
2025-12-10,New York,11,92,66
2025-12-10,Florida,17,9,64
2025-12-10,La Primera,18,63,66
2025-12-10,La Suerte,86,66,84
2025-12-09,Nacional,42,88,51
2025-12-09,Leidsa,28,78,43
2025-12-09,Real,46,47,47
2025-12-09,Loteka,70,21,29
2025-12-09,New York,51,49,59
2025-12-09,Florida,72,19,71
2025-12-09,La Primera,61,69,57
2025-12-09,La Suerte,32,63,55
2025-12-08,Nacional,92,16,20
2025-12-08,Leidsa,41,33,45
2025-12-08,Real,12,57,4
2025-12-08,Loteka,74,71,82
2025-12-08,New York,76,83,88
2025-12-08,Florida,15,82,82
2025-12-08,La Primera,7,67,9
2025-12-08,La Suerte,23,97,12
2025-12-07,Nacional,76,89,16
2025-12-07,Leidsa,5,8,95
2025-12-07,Real,23,49,46
2025-12-07,Loteka,62,92,63
2025-12-07,New York,25,50,13
2025-12-07,Florida,88,73,46
2025-12-07,La Primera,16,94,25
2025-12-07,La Suerte,72,35,3
2025-12-06,Nacional,84,48,71
2025-12-06,Leidsa,80,63,62
2025-12-06,Real,81,75,65
2025-12-06,Loteka,54,53,66
2025-12-06,New York,63,76,19
2025-12-06,Florida,12,82,65
2025-12-06,La Primera,89,48,5
2025-12-06,La Suerte,19,98,58
2025-12-05,Nacional,59,21,74
2025-12-05,Leidsa,19,2,76
2025-12-05,Real,29,9,68
2025-12-05,Loteka,25,87,16
2025-12-05,New York,90,69,38
2025-12-05,Florida,65,71,4
2025-12-05,La Primera,20,49,80
2025-12-05,La Suerte,88,27,4
2025-12-04,Nacional,57,97,48
2025-12-04,Leidsa,15,86,24
2025-12-04,Real,87,59,80
2025-12-04,Loteka,9,9,66
2025-12-04,New York,39,75,1
2025-12-04,Florida,19,31,52
2025-12-04,La Primera,90,66,6
2025-12-04,La Suerte,26,18,33
2025-12-03,Nacional,78,2,67
2025-12-03,Leidsa,48,99,55
2025-12-03,Real,16,26,24
2025-12-03,Loteka,73,13,90
2025-12-03,New York,26,99,18
2025-12-03,Florida,13,71,64
2025-12-03,La Primera,3,30,64
2025-12-03,La Suerte,55,46,23
2025-12-02,Nacional,86,24,28
2025-12-02,Leidsa,78,75,10
2025-12-02,Real,85,51,8
2025-12-02,Loteka,38,91,29
2025-12-02,New York,65,20,27
2025-12-02,Florida,57,92,27
2025-12-02,La Primera,43,15,61
2025-12-02,La Suerte,24,35,59
2025-12-01,Nacional,56,12,27
2025-12-01,Leidsa,67,9,84
2025-12-01,Real,8,32,4
2025-12-01,Loteka,60,4,19
2025-12-01,New York,81,51,16
2025-12-01,Florida,39,78,6
2025-12-01,La Primera,59,44,89
2025-12-01,La Suerte,95,68,58
2025-11-30,Nacional,23,39,76
2025-11-30,Leidsa,80,64,45
2025-11-30,Real,27,69,72
2025-11-30,Loteka,21,24,83
2025-11-30,New York,17,19,46
2025-11-30,Florida,94,10,66
2025-11-30,La Primera,28,1,23
2025-11-30,La Suerte,95,38,47
2025-11-29,Nacional,31,0,76
2025-11-29,Leidsa,83,31,82
2025-11-29,Real,57,60,59
2025-11-29,Loteka,6,55,5
2025-11-29,New York,52,63,38
2025-11-29,Florida,80,14,13
2025-11-29,La Primera,42,75,6
2025-11-29,La Suerte,92,86,69
2025-11-28,Nacional,0,29,73
2025-11-28,Leidsa,17,53,13
2025-11-28,Real,85,90,39
2025-11-28,Loteka,31,91,58
2025-11-28,New York,92,0,76
2025-11-28,Florida,43,61,24
2025-11-28,La Primera,41,3,27
2025-11-28,La Suerte,83,31,24
2025-11-27,Nacional,84,43,13
2025-11-27,Leidsa,36,77,0
2025-11-27,Real,93,73,58
2025-11-27,Loteka,33,58,37
2025-11-27,New York,16,52,1
2025-11-27,Florida,35,22,1
2025-11-27,La Primera,78,23,96
2025-11-27,La Suerte,97,57,15
2025-11-26,Nacional,67,53,55
2025-11-26,Leidsa,35,19,87
2025-11-26,Real,15,29,98
2025-11-26,Loteka,11,36,42
2025-11-26,New York,67,90,16
2025-11-26,Florida,52,54,35
2025-11-26,La Primera,26,92,15
2025-11-26,La Suerte,90,5,52
2025-11-25,Nacional,57,54,24
2025-11-25,Leidsa,80,97,46
2025-11-25,Real,4,97,3
2025-11-25,Loteka,90,82,54
2025-11-25,New York,69,10,85
2025-11-25,Florida,46,7,81
2025-11-25,La Primera,80,75,61
2025-11-25,La Suerte,24,63,52
2025-11-24,Nacional,48,93,62
2025-11-24,Leidsa,85,35,69
2025-11-24,Real,37,54,63
2025-11-24,Loteka,40,49,75
2025-11-24,New York,8,49,17
2025-11-24,Florida,64,66,69
2025-11-24,La Primera,98,82,95
2025-11-24,La Suerte,25,58,9
2025-11-23,Nacional,82,6,28
2025-11-23,Leidsa,49,1,18
2025-11-23,Real,26,98,1
2025-11-23,Loteka,74,95,78
2025-11-23,New York,10,26,59
2025-11-23,Florida,87,91,90
2025-11-23,La Primera,60,48,86
2025-11-23,La Suerte,87,6,69
2025-11-22,Nacional,14,16,82
2025-11-22,Leidsa,4,99,81
2025-11-22,Real,88,28,24
2025-11-22,Loteka,50,0,97
2025-11-22,New York,2,37,61
2025-11-22,Florida,48,96,68
2025-11-22,La Primera,64,23,32
2025-11-22,La Suerte,7,21,51
2025-11-21,Nacional,89,30,60
2025-11-21,Leidsa,38,88,25
2025-11-21,Real,53,0,40
2025-11-21,Loteka,35,26,61
2025-11-21,New York,10,20,91
2025-11-21,Florida,55,66,75
2025-11-21,La Primera,32,64,8
2025-11-21,La Suerte,92,48,35
2025-11-20,Nacional,68,5,54
2025-11-20,Leidsa,48,12,71
2025-11-20,Real,40,52,85
2025-11-20,Loteka,92,7,69
2025-11-20,New York,52,49,75
2025-11-20,Florida,27,96,21
2025-11-20,La Primera,65,80,12
2025-11-20,La Suerte,27,72,22
2025-11-19,Nacional,62,25,69
2025-11-19,Leidsa,20,44,0
2025-11-19,Real,2,18,22
2025-11-19,Loteka,73,59,83
2025-11-19,New York,71,91,4
2025-11-19,Florida,8,76,65
2025-11-19,La Primera,14,44,0
2025-11-19,La Suerte,89,59,77
2025-11-18,Nacional,45,57,12
2025-11-18,Leidsa,14,99,16
2025-11-18,Real,36,5,24
2025-11-18,Loteka,47,45,59
2025-11-18,New York,33,38,94
2025-11-18,Florida,18,10,99
2025-11-18,La Primera,49,4,55
2025-11-18,La Suerte,29,27,77
